FECHA,DEPARTAMENTO,MUNICIPIO,TIPO_DE_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPARECIDOS,AFECTADOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,VIVIENDAS_AVERIADAS,LATITUD,LONGITUD
2018-01-27,CESAR,EL PASO,INCENDIO FORESTAL,20250,0,0,0,0,0,0,0,9.683474681,-73.73833778
2018-01-27,SANTANDER,COROMORO,INCENDIO FORESTAL,68217,0,0,0,0,0,0,0,6.234735779,-72.98176803
2018-01-27,VAUPES,MITU,INCENDIO ESTRUCTURAL,97001,0,0,0,5,1,0,1,1.06148231,-70.46688401
2018-01-28,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322,0,0,0,0,0,0,0,5.01450831,-73.48812352
2018-01-28,META,PUERTO GAITAN,INCENDIO FORESTAL,50568,0,0,0,0,0,0,0,4.005034467,-71.63157429
2018-01-28,CUNDINAMARCA,VILLETA,INCENDIO FORESTAL,25875,0,0,0,0,0,0,0,5.011670402,-74.48764746
2018-01-28,BOYACA,CHITA,INCENDIO FORESTAL,15183,0,0,0,0,0,0,0,6.091468485,-72.43903174
2018-01-28,CASANARE,OROCUE,INCENDIO FORESTAL,85230,0,0,0,0,0,0,0,4.915139133,-71.59873966
2018-01-28,CHOCO,RIOSUCIO,INCENDIO ESTRUCTURAL,27615,0,0,0,25,5,1,3,7.389887937,-77.24067483
2018-01-28,CUNDINAMARCA,BOJACA,INCENDIO FORESTAL,25099,0,0,0,0,0,0,0,4.705576252,-74.3354077
2018-01-28,GUAVIARE,SAN JOSE DEL GUAVIARE,INCENDIO FORESTAL,95001,0,0,0,0,0,0,0,2.484286091,-71.91916993
2018-01-29,ATLANTICO,MALAMBO,INCENDIO FORESTAL,8433,0,0,0,0,0,0,0,10.84828864,-74.80617555
2018-01-29,HUILA,YAGUARA,INCENDIO FORESTAL,41885,0,0,0,0,0,0,0,2.646563339,-75.51592645
2018-01-30,CUNDINAMARCA,UBALA,INCENDIO FORESTAL,25839,0,0,0,0,0,0,0,4.803805182,-73.47654604
